timestamps,open,high,low,close,volume,amount,fgi_value,fundingRate
2025-12-02 01:00:00,86513.33,87350.0,86394.0,86454.93,1192.01967,103055977.12847309,23,0.0
2025-12-02 02:00:00,86454.93,86857.79,86272.55,86554.47,522.02975,45184008.3354825,23,0.0
2025-12-02 03:00:00,86554.46,87106.62,86214.99,86976.99,643.79096,55994999.89001041,23,0.0
2025-12-02 04:00:00,86977.0,87288.48,86900.79,86970.28,689.46639,59963084.9888892,23,0.0
2025-12-02 05:00:00,86970.28,87125.36,86818.14,87008.2,320.12167,27853210.287694,23,0.0
2025-12-02 06:00:00,87008.2,87179.22,86870.0,87090.46,385.60175,33582233.784305,23,0.0
2025-12-02 07:00:00,87090.46,87117.18,86882.23,87012.65,338.04553,29414237.385954496,23,0.0
2025-12-02 08:00:00,87012.64,87058.41,86296.21,86471.89,1046.58604,90500272.92641559,23,0.0
2025-12-02 09:00:00,86471.88,86999.0,86450.6,86769.87,806.33465,69965552.7569955,23,0.0
2025-12-02 10:00:00,86769.88,87628.78,86760.01,87272.44,661.40198,57722164.6154312,23,0.0
2025-12-02 11:00:00,87272.44,87602.47,86985.51,87368.92,846.713,73976400.35995999,23,0.0
2025-12-02 12:00:00,87368.92,87560.77,87208.68,87264.2,839.51657,73259741.86779399,23,0.0
2025-12-02 13:00:00,87264.2,87883.43,87032.75,87731.41,1559.3403,136803123.188823,23,0.0
2025-12-02 14:00:00,87731.41,89275.54,87600.0,89271.99,2529.97385,225855800.2374615,23,0.0
2025-12-02 15:00:00,89271.99,91200.0,89263.06,90850.01,4371.66947,397166215.06619465,23,0.0
2025-12-02 16:00:00,90850.01,91296.72,90201.0,90759.15,2014.14601,182802179.8434915,23,0.0
2025-12-02 17:00:00,90759.15,91990.0,90736.05,91458.4,1594.71699,145850264.358216,23,0.0
2025-12-02 18:00:00,91458.4,92237.15,91326.22,91954.49,1650.85803,151803808.2110547,23,0.0
2025-12-02 19:00:00,91954.49,92307.65,91850.0,91903.39,892.95903,82065961.9881117,23,0.0
2025-12-02 20:00:00,91903.38,91930.09,90720.87,91026.67,1812.81861,165014841.3823287,23,0.0
2025-12-02 21:00:00,91026.66,91631.49,90965.02,91562.43,750.79479,68744595.40373969,23,0.0
2025-12-02 22:00:00,91562.42,92000.0,91510.6,91981.91,1005.0385,92445360.853535,23,0.0
2025-12-02 23:00:00,91981.91,91981.91,91269.38,91277.88,848.30812,77431766.78038561,23,0.0
2025-12-03 00:00:00,91277.88,91747.99,90990.23,91660.12,1282.57519,117560995.82442279,28,0.0
2025-12-03 01:00:00,91660.13,92482.02,91468.21,92251.63,1105.16296,101953084.47562481,28,0.0
2025-12-03 02:00:00,92251.64,93051.64,92158.0,92817.92,1322.86837,122785890.5371904,28,0.0
2025-12-03 03:00:00,92817.93,93087.09,92597.26,92628.91,714.46982,66180560.65449621,28,0.0
2025-12-03 04:00:00,92628.91,93482.87,92625.0,93362.21,1228.95814,114738247.9478894,28,0.0
2025-12-03 05:00:00,93362.21,93660.0,93116.02,93642.92,1042.55272,97627680.95474239,28,0.0
2025-12-03 06:00:00,93642.92,93958.58,93146.26,93431.8,1068.27612,99810960.788616,28,0.0
2025-12-03 07:00:00,93431.81,93468.43,92871.03,92999.99,1206.67241,112220522.0632759,28,0.0
2025-12-03 08:00:00,93000.0,93173.93,92682.1,92765.65,908.28425,84257578.8360125,28,0.0
2025-12-03 09:00:00,92765.64,93217.52,92709.41,93178.46,651.04477,60663349.0596542,28,0.0
2025-12-03 10:00:00,93178.45,93389.62,92861.88,92939.4,644.12113,59864231.349521995,28,0.0
2025-12-03 11:00:00,92939.4,93054.93,92666.0,93005.68,566.65244,52701895.50585919,28,0.0
2025-12-03 12:00:00,93005.68,93112.1,92672.55,92937.39,609.37614,56633827.979874596,28,0.0
2025-12-03 13:00:00,92937.39,93258.53,92886.59,93130.88,653.22336,60835266.3533568,28,0.0
2025-12-03 14:00:00,93130.89,93700.0,91697.0,92357.54,3444.5392,318129166.94556797,28,0.0
2025-12-03 15:00:00,92357.54,92993.98,91922.21,92373.3,1816.10102,167759244.350766,28,0.0
2025-12-03 16:00:00,92373.3,92739.09,91786.99,92242.24,1045.70106,96457808.1447744,28,0.0
2025-12-03 17:00:00,92242.24,93040.0,92199.72,92956.22,952.33734,88525679.2912548,28,0.0
2025-12-03 18:00:00,92956.22,93500.0,92383.05,92623.86,1065.25501,98668030.91053861,28,0.0
2025-12-03 19:00:00,92623.85,93099.47,92528.75,93024.99,561.39144,52223433.0920856,28,0.0
2025-12-03 20:00:00,93025.0,93400.0,92825.56,92980.43,993.99987,92422535.33254409,28,0.0
2025-12-03 21:00:00,92981.45,93769.23,92860.0,93700.0,961.39093,90082330.141,28,0.0
2025-12-03 22:00:00,93700.01,94150.0,93301.87,93781.01,1201.71927,112698446.8770627,28,0.0
2025-12-03 23:00:00,93781.01,94091.71,93377.58,93429.95,665.85289,62210602.2200555,28,0.0
2025-12-04 00:00:00,93429.95,93480.0,92669.82,93054.86,1095.83853,101973100.9917558,26,0.0
2025-12-04 01:00:00,93054.87,93750.73,92981.35,93195.07,1304.157,121541002.90599,26,0.0
2025-12-04 02:00:00,93195.07,94070.7,93117.8,93943.24,944.67997,88746297.14490281,26,0.0
2025-12-04 03:00:00,93943.24,94080.0,93402.38,93543.04,500.0247,46773830.513087995,26,0.0
2025-12-04 04:00:00,93543.03,93588.48,93231.56,93360.58,388.95379,36312951.4275982,26,0.0
2025-12-04 05:00:00,93360.58,93380.39,92775.0,92979.25,931.22487,86584589.9939475,26,0.0
2025-12-04 06:00:00,92979.25,93371.12,92824.32,93140.74,1076.30029,100247405.47281459,26,0.0
2025-12-04 07:00:00,93140.75,93413.39,92888.0,93397.67,674.02891,62952729.7066397,26,0.0
2025-12-04 08:00:00,93397.67,93600.0,93044.41,93260.63,411.88207,38412381.3339041,26,0.0
2025-12-04 09:00:00,93260.64,93621.31,93235.5,93454.7,402.88554,37651547.275038,26,0.0
2025-12-04 10:00:00,93454.71,93553.69,93156.42,93260.0,373.45816,34828708.001600005,26,0.0
2025-12-04 11:00:00,93260.0,93318.17,92736.9,92948.31,728.79798,67740540.5724138,26,0.0
2025-12-04 12:00:00,92948.32,93200.0,92782.48,92990.18,474.71729,44144046.2462122,26,0.0
2025-12-04 13:00:00,92990.18,93060.63,92424.0,92516.38,997.53962,92288754.5489756,26,0.0
2025-12-04 14:00:00,92516.38,92821.26,91801.0,91894.01,1176.07323,108074085.15835229,26,0.0
2025-12-04 15:00:00,91894.0,93257.0,91886.55,92971.49,1647.82775,153201001.1808475,26,0.0
2025-12-04 16:00:00,92971.49,93174.55,92268.76,92431.72,1073.45255,99221065.534886,26,0.0
2025-12-04 17:00:00,92431.71,92536.0,91756.57,92426.76,1204.88261,111363395.82264361,26,0.0
2025-12-04 18:00:00,92426.77,92550.86,91890.32,92127.52,605.6924,55800938.694848,26,0.0
2025-12-04 19:00:00,92127.53,92174.91,90889.0,91975.44,1976.68364,181806347.5298016,26,0.0
2025-12-04 20:00:00,91975.43,92532.42,91688.92,92476.25,812.83088,75167551.6666,26,0.0
2025-12-04 21:00:00,92476.25,92718.53,92086.0,92158.23,581.65983,53604740.3949009,26,0.0
2025-12-04 22:00:00,92158.24,92497.25,92151.79,92348.78,231.66801,21394258.088527802,26,0.0
2025-12-04 23:00:00,92348.78,92461.03,92076.66,92078.06,188.68097,17373377.676518198,26,0.0
2025-12-05 00:00:00,92078.06,92474.0,92058.82,92299.08,300.89002,27771872.0271816,28,0.0
2025-12-05 01:00:00,92299.09,92600.0,92227.44,92358.03,512.17408,47303389.0458624,28,0.0
2025-12-05 02:00:00,92358.03,92692.36,92252.66,92518.4,403.18655,37302174.50752,28,0.0
2025-12-05 03:00:00,92518.4,92665.56,91959.92,92142.75,535.04122,49300169.37415499,28,0.0
2025-12-05 04:00:00,92142.75,92386.31,91813.37,92028.14,507.97714,46748191.3567196,28,0.0
2025-12-05 05:00:00,92028.15,92204.69,91880.13,91932.85,239.31127,22000567.0882195,28,0.0
2025-12-05 06:00:00,91932.85,92286.77,91905.83,92275.26,277.29503,25587470.9899578,28,0.0
2025-12-05 07:00:00,92275.27,92497.51,92203.34,92258.65,362.60812,33453735.630237997,28,0.0
2025-12-05 08:00:00,92258.64,92258.65,91892.86,92112.04,447.11606,41184772.4033624,28,0.0
2025-12-05 09:00:00,92112.04,92112.04,90956.25,91128.56,1077.36085,98178342.860876,28,0.0
2025-12-05 10:00:00,91128.55,91488.0,91083.87,91272.85,493.57021,45049559.7417985,28,0.0
2025-12-05 11:00:00,91272.85,91563.7,91128.4,91351.43,413.65104,37787614.0249872,28,0.0
2025-12-05 12:00:00,91351.44,91432.69,91081.57,91242.4,357.37789,32608016.390535995,28,0.0
2025-12-05 13:00:00,91242.4,91352.56,90215.51,90465.14,1524.52886,137916716.7539404,28,0.0
2025-12-05 14:00:00,90465.14,90744.24,89874.7,90287.67,1551.1367,140048518.49448898,28,0.0
2025-12-05 15:00:00,90287.67,91478.67,90258.24,90459.35,1911.11908,172878589.749398,28,0.0
2025-12-05 16:00:00,90459.34,90498.59,88056.0,88810.89,3451.73023,306551233.7662047,28,0.0
2025-12-05 17:00:00,88810.88,89540.71,88607.25,89336.13,1157.12551,103373114.98767631,28,0.0
2025-12-05 18:00:00,89335.53,89795.59,88908.53,88936.04,857.04766,76222424.9716664,28,0.0
2025-12-05 19:00:00,88936.04,89800.0,88814.88,89629.26,1041.63454,93360933.0106404,28,0.0
2025-12-05 20:00:00,89629.27,89745.37,89181.91,89301.75,1024.68482,91506147.624435,28,0.0
2025-12-05 21:00:00,89301.75,89484.0,89075.91,89177.68,695.18131,61994656.4051608,28,0.0
2025-12-05 22:00:00,89177.68,89376.03,88901.6,89232.47,401.94285,35866353.304339506,28,0.0
2025-12-05 23:00:00,89232.48,89383.46,88940.2,89330.04,249.28114,22268294.2074456,28,0.0
2025-12-06 00:00:00,89330.04,89466.34,89030.67,89422.25,286.14614,25587831.667615,23,0.0
2025-12-06 01:00:00,89422.25,89500.0,89205.03,89333.83,226.8064,20261484.380512,23,0.0
2025-12-06 02:00:00,89333.84,89404.0,89175.0,89390.9,233.2494,20850373.790459998,23,0.0
2025-12-06 03:00:00,89390.9,89806.43,89390.9,89688.35,784.83107,70390203.6970345,23,0.0
2025-12-06 04:00:00,89688.35,89721.76,89521.12,89659.01,185.11807,16597502.889310699,23,0.0
2025-12-06 05:00:00,89659.0,89740.0,89524.03,89604.98,147.31042,13199747.2378916,23,0.0
2025-12-06 06:00:00,89604.97,89764.19,89527.26,89688.65,140.21424,12575625.896375999,23,0.0
2025-12-06 07:00:00,89688.65,89720.0,89459.19,89597.13,296.88077,26599664.9441901,23,0.0
2025-12-06 08:00:00,89597.14,89647.12,89217.59,89277.14,423.86292,37841269.249648795,23,0.0
2025-12-06 09:00:00,89277.14,89669.13,89264.74,89574.12,336.18462,30113441.4940344,23,0.0
2025-12-06 10:00:00,89574.12,89687.86,89462.0,89506.0,175.95561,15749082.82866,23,0.0
2025-12-06 11:00:00,89506.01,89750.01,89500.0,89631.28,568.70187,50973476.5464936,23,0.0
2025-12-06 12:00:00,89631.29,89648.96,89566.0,89581.19,256.02717,22935218.5609323,23,0.0
2025-12-06 13:00:00,89581.19,89788.56,89581.19,89673.73,252.86068,22674960.3459364,23,0.0
2025-12-06 14:00:00,89673.73,90289.97,89659.0,90004.76,1068.00125,96125196.18595,23,0.0
2025-12-06 15:00:00,90004.76,90042.54,89490.98,89758.77,475.19156,42652609.9399812,23,0.0
2025-12-06 16:00:00,89758.77,89981.2,89680.34,89707.8,304.47551,27313828.155977998,23,0.0
2025-12-06 17:00:00,89707.8,89846.98,89615.38,89712.85,310.78613,27881509.462770503,23,0.0
2025-12-06 18:00:00,89712.85,89787.99,89529.9,89646.71,180.17034,16151678.220581401,23,0.0
2025-12-06 19:00:00,89646.7,89744.62,89077.6,89405.64,688.16416,61525757.1498624,23,0.0
2025-12-06 20:00:00,89405.65,89553.82,89311.99,89548.88,135.59159,12142075.0219192,23,0.0
2025-12-06 21:00:00,89548.88,89615.34,89390.01,89420.28,217.83026,19478442.8416728,23,0.0
2025-12-06 22:00:00,89420.29,89523.37,89257.48,89285.94,165.36534,14764799.825319601,23,0.0
2025-12-06 23:00:00,89285.93,89329.38,88908.01,89236.79,549.77464,49060124.09700559,23,0.0
2025-12-07 00:00:00,89236.8,89553.82,89176.52,89392.39,248.83948,22244355.8435572,20,0.0
2025-12-07 01:00:00,89392.39,89588.23,89300.0,89300.0,132.2057,11805969.01,20,0.0
2025-12-07 02:00:00,89300.0,89695.65,89300.0,89621.96,175.80697,15756165.233061202,20,0.0
2025-12-07 03:00:00,89621.95,89749.59,89553.81,89722.37,155.63502,13963942.849397399,20,0.0
2025-12-07 04:00:00,89722.37,89799.96,89487.41,89535.95,280.51949,25116579.030665502,20,0.0
2025-12-07 05:00:00,89535.94,89564.55,89427.0,89515.01,130.12741,11648356.4074241,20,0.0
2025-12-07 06:00:00,89515.01,89710.0,89488.28,89709.99,107.62861,9655361.5268139,20,0.0
2025-12-07 07:00:00,89710.0,89733.33,89200.0,89379.72,220.78651,19733836.4435772,20,0.0
2025-12-07 08:00:00,89379.73,89538.7,89190.97,89316.61,173.05781,15456936.923224099,20,0.0
2025-12-07 09:00:00,89316.61,89395.65,89050.01,89104.23,229.27162,20429071.1609526,20,0.0
