timestamps,open,high,low,close,volume,amount
2021-09-18 17:00:00,48198.36,48371.82,48093.28,48333.02,1025.41957,49561624.5852014
2021-09-18 18:00:00,48333.02,48421.57,48222.27,48296.05,989.68411,47797833.26076551
2021-09-18 19:00:00,48296.05,48296.06,48062.63,48266.0,939.02752,45323102.280319996
2021-09-18 20:00:00,48266.0,48269.71,47800.51,47974.02,1841.21529,88330499.1467658
2021-09-18 21:00:00,47974.02,48100.0,47859.59,47874.92,764.28992,36590318.7768064
2021-09-18 22:00:00,47874.91,48084.18,47830.08,48038.33,768.10756,36898604.4427748
2021-09-18 23:00:00,48038.34,48369.37,47950.56,48292.74,1384.85995,66878681.501763
2021-09-19 00:00:00,48292.75,48372.83,47899.99,47932.01,1421.87334,68153247.15161341
2021-09-19 01:00:00,47932.0,47932.01,47591.83,47872.86,1564.36719,74890731.4754634
2021-09-19 02:00:00,47872.86,48015.25,47763.86,48007.06,723.33675,34725270.757455
2021-09-19 03:00:00,48007.06,48040.0,47780.81,47844.88,461.40938,22076076.4169744
2021-09-19 04:00:00,47844.88,48035.99,47763.85,47846.11,704.28412,33697255.4767732
2021-09-19 05:00:00,47846.12,48024.64,47763.87,48003.63,618.49292,29689905.2892996
2021-09-19 06:00:00,48003.63,48140.02,47880.72,48129.12,937.49293,45120709.7271216
2021-09-19 07:00:00,48129.12,48218.97,47924.97,48157.7,857.30717,41285941.500709
2021-09-19 08:00:00,48157.7,48315.78,48131.46,48259.7,1067.3304,51509044.90488
2021-09-19 09:00:00,48259.71,48333.0,48070.0,48117.19,913.4217,43951285.489023
2021-09-19 10:00:00,48117.19,48175.77,48050.0,48061.89,860.5299,41358693.395511
2021-09-19 11:00:00,48061.89,48076.57,47180.32,47327.73,3154.71562,149305529.0901426
2021-09-19 12:00:00,47327.73,47442.5,47069.01,47274.52,2390.44326,113007057.70373519
2021-09-19 13:00:00,47274.53,47392.72,47200.76,47325.46,1001.93651,47417106.226544596
2021-09-19 14:00:00,47322.11,47710.0,47258.88,47580.0,1938.27768,92223252.01439999
2021-09-19 15:00:00,47580.0,47770.0,47525.0,47646.72,1015.77642,48398414.6663424
2021-09-19 16:00:00,47646.71,47726.27,47487.74,47544.91,1432.68303,68116785.7198773
2021-09-19 17:00:00,47544.91,47655.0,47287.91,47359.99,1412.08283,66876228.7079717
2021-09-19 18:00:00,47359.99,47785.0,47291.66,47659.39,1325.6426,63179317.674013995
2021-09-19 19:00:00,47659.4,47749.99,47339.27,47376.72,1208.46321,57253023.1304712
2021-09-19 20:00:00,47376.72,47607.79,47260.0,47594.67,889.28657,42325300.8345819
2021-09-19 21:00:00,47594.66,47666.01,47354.39,47457.0,636.00827,30183044.46939
2021-09-19 22:00:00,47457.0,47607.8,46829.18,47042.94,2371.33725,111554675.97151501
2021-09-19 23:00:00,47042.93,47369.59,46973.18,47241.75,940.74444,44442413.648370005
2021-09-20 00:00:00,47241.75,47347.25,46750.43,46977.98,2097.38272,98530803.47250561
2021-09-20 01:00:00,46978.86,47312.93,46909.01,47220.79,926.74728,43761738.6919512
2021-09-20 02:00:00,47220.79,47261.51,45811.0,45938.37,4464.63656,205098126.2088072
2021-09-20 03:00:00,45946.06,46076.72,45100.0,45542.76,4195.07186,191055150.90273362
2021-09-20 04:00:00,45542.75,45776.14,45338.36,45650.45,2093.18334,95554761.403503
2021-09-20 05:00:00,45650.44,45836.85,45606.77,45724.73,1236.74827,56549980.72371711
2021-09-20 06:00:00,45724.73,45796.97,45444.44,45638.93,1410.74569,64384923.7937117
2021-09-20 07:00:00,45638.93,45799.78,44444.0,44824.89,4838.73453,216895743.0464517
2021-09-20 08:00:00,44830.01,45156.33,44662.14,45046.55,2150.57833,96876134.2712615
2021-09-20 09:00:00,45049.85,45189.82,44753.18,44844.02,1448.83769,64971706.347113796
2021-09-20 10:00:00,44844.01,45295.0,44265.9,44585.33,4593.60886,204807566.91402382
2021-09-20 11:00:00,44585.32,44625.78,43240.33,43739.75,7054.62277,308567436.3041075
2021-09-20 12:00:00,43734.0,44050.0,42500.0,43532.0,10019.731623,436178957.012436
2021-09-20 13:00:00,43532.0,44135.0,43135.68,44054.65,5676.44713,250073891.5556545
2021-09-20 14:00:00,44054.64,44134.47,43693.97,43807.99,3381.93623,148155828.54447767
2021-09-20 15:00:00,43807.99,44013.15,43435.0,43844.88,2996.49925,131381150.03633998
2021-09-20 16:00:00,43844.88,44100.0,43557.87,43850.46,2392.2137,104899671.16330199
2021-09-20 17:00:00,43850.45,44250.0,43726.83,44044.12,1405.25093,61893040.5910316
2021-09-20 18:00:00,44044.11,44120.91,43224.0,43406.62,2697.84792,117104459.48123041
2021-09-20 19:00:00,43406.61,43951.82,42888.0,43850.25,4181.61756,183364975.41039
2021-09-20 20:00:00,43850.26,43968.67,43215.0,43540.38,1786.54856,77787003.19085279
2021-09-20 21:00:00,43545.85,43913.83,43426.62,43516.86,1184.12489,51529397.0606454
2021-09-20 22:00:00,43516.87,43940.0,43043.16,43343.03,2070.26607,89731604.3799921
2021-09-20 23:00:00,43343.02,43640.0,42551.11,43015.62,3700.14268,159163931.4686616
2021-09-21 00:00:00,43016.64,43038.18,40200.0,41666.69,12146.723174,506113749.00687414
2021-09-21 01:00:00,41666.68,42824.0,41554.09,42762.58,3673.961279,157108063.11013982
2021-09-21 02:00:00,42762.57,43111.0,42516.06,42900.0,2838.8869,121788248.01
